Sample_Name,sample_name,group,SRR ID,Experiment,GEO_Accession (exp),molecular_subgroup
GSM3781247,BT853_1,Wnt,SRR9090717,SRX5865864,GSM3781247,Wnt
GSM3781247,BT853_1,Wnt,SRR9090718,SRX5865864,GSM3781247,Wnt
GSM3781248,BT853_2,Wnt,SRR9090719,SRX5865865,GSM3781248,Wnt
GSM3781248,BT853_2,Wnt,SRR9090720,SRX5865865,GSM3781248,Wnt
GSM3781249,BT853_3,Wnt,SRR9090721,SRX5865866,GSM3781249,Wnt
GSM3781249,BT853_3,Wnt,SRR9090722,SRX5865866,GSM3781249,Wnt
GSM3781250,SU_MB002_1,Group3,SRR9090723,SRX5865867,GSM3781250,Group 3
GSM3781250,SU_MB002_1,Group3,SRR9090724,SRX5865867,GSM3781250,Group 3
GSM3781251,SU_MB002_2,Group3,SRR9090725,SRX5865868,GSM3781251,Group 3
GSM3781251,SU_MB002_2,Group3,SRR9090726,SRX5865868,GSM3781251,Group 3
GSM3781252,SU_MB002_3,Group3,SRR9090727,SRX5865869,GSM3781252,Group 3
GSM3781252,SU_MB002_3,Group3,SRR9090728,SRX5865869,GSM3781252,Group 3
GSM3781253,ICB1299_1,Group4,SRR9090729,SRX5865870,GSM3781253,Group 4
GSM3781253,ICB1299_1,Group4,SRR9090730,SRX5865870,GSM3781253,Group 4
GSM3781254,ICB1299_2,Group4,SRR9090731,SRX5865871,GSM3781254,Group 4
GSM3781254,ICB1299_2,Group4,SRR9090732,SRX5865871,GSM3781254,Group 4
GSM3781255,ICB1299_3,Group4,SRR9090733,SRX5865872,GSM3781255,Group 4
GSM3781255,ICB1299_3,Group4,SRR9090734,SRX5865872,GSM3781255,Group 4
GSM3781256,SU_MB002_PBS_1,Group3_pbs,SRR9090735,SRX5865873,GSM3781256,Group 3
GSM3781256,SU_MB002_PBS_1,Group3_pbs,SRR9090736,SRX5865873,GSM3781256,Group 3
GSM3781257,SU_MB002_PBS_2,Group3_pbs,SRR9090737,SRX5865874,GSM3781257,Group 3
GSM3781257,SU_MB002_PBS_2,Group3_pbs,SRR9090738,SRX5865874,GSM3781257,Group 3
GSM3781258,SU_MB002_PBS_3,Group3_pbs,SRR9090739,SRX5865875,GSM3781258,Group 3
GSM3781258,SU_MB002_PBS_3,Group3_pbs,SRR9090740,SRX5865875,GSM3781258,Group 3
GSM3781259,SU_MB002_L807mts_1,Group3_mts,SRR9090741,SRX5865876,GSM3781259,Group 3
GSM3781259,SU_MB002_L807mts_1,Group3_mts,SRR9090742,SRX5865876,GSM3781259,Group 3
GSM3781260,SU_MB002_L807mts_2,Group3_mts,SRR9090743,SRX5865877,GSM3781260,Group 3
GSM3781260,SU_MB002_L807mts_2,Group3_mts,SRR9090744,SRX5865877,GSM3781260,Group 3
GSM3781261,SU_MB002_L807mts_3,Group3_mts,SRR9090745,SRX5865878,GSM3781261,Group 3
GSM3781261,SU_MB002_L807mts_3,Group3_mts,SRR9090746,SRX5865878,GSM3781261,Group 3
GSM3781262,ICB1299_PBS_1,Group4_pbs,SRR9090747,SRX5865879,GSM3781262,Group 4
GSM3781262,ICB1299_PBS_1,Group4_pbs,SRR9090748,SRX5865879,GSM3781262,Group 4
GSM3781263,ICB1299_PBS_2,Group4_pbs,SRR9090749,SRX5865880,GSM3781263,Group 4
GSM3781263,ICB1299_PBS_2,Group4_pbs,SRR9090750,SRX5865880,GSM3781263,Group 4
GSM3781264,ICB1299_PBS_3,Group4_pbs,SRR9090751,SRX5865881,GSM3781264,Group 4
GSM3781264,ICB1299_PBS_3,Group4_pbs,SRR9090752,SRX5865881,GSM3781264,Group 4
GSM3781265,ICB1299_L807mts_1,Group4_mts,SRR9090753,SRX5865882,GSM3781265,Group 4
GSM3781265,ICB1299_L807mts_1,Group4_mts,SRR9090754,SRX5865882,GSM3781265,Group 4
GSM3781266,ICB1299_L807mts_2,Group4_mts,SRR9090755,SRX5865883,GSM3781266,Group 4
GSM3781266,ICB1299_L807mts_2,Group4_mts,SRR9090756,SRX5865883,GSM3781266,Group 4
GSM3781267,ICB1299_L807mts_3,Group4_mts,SRR9090757,SRX5865884,GSM3781267,Group 4
GSM3781267,ICB1299_L807mts_3,Group4_mts,SRR9090758,SRX5865884,GSM3781267,Group 4
GSM3781268,SU_MB002_TGP_POS_1,Group3_tgp_pos,SRR9090759,SRX5865885,GSM3781268,Group 3
GSM3781268,SU_MB002_TGP_POS_1,Group3_tgp_pos,SRR9090760,SRX5865885,GSM3781268,Group 3
GSM3781269,SU_MB002_TGP_POS_2,Group3_tgp_pos,SRR9090761,SRX5865886,GSM3781269,Group 3
